st	accession	sp	gn
Rhodonellum_psychrophilum_GCM71_=_DSM_17998	GCF_000381545.1	Rhodonellum psychrophilum	Rhodonellum
Rhodopila_globiformis	GCF_002937115.1	Rhodopila globiformis	Rhodopila
Rhodopirellula_baltica_SH_1	GCF_000196115.1	Rhodopirellula baltica	Rhodopirellula
Rhodoplanes_elegans	GCF_003258805.1	Rhodoplanes elegans	Rhodoplanes
Rhodopseudomonas_palustris_HaA2	GCF_000013365.1	Rhodopseudomonas palustris	Rhodopseudomonas
Rhodosalinus_sp._E84	GCF_003298775.1	Rhodosalinus sp.	Rhodosalinus
Rhodospira_trueperi	GCF_900101965.1	Rhodospira trueperi	Rhodospira
Rhodospirillaceae_bacterium_HHTR118	GCF_003572205.1	Rhodospirillaceae bacterium	Rhodospirillaceae
Rhodospirillales_bacterium_URHD0088	GCF_000518365.1	Rhodospirillales bacterium	Rhodospirillales
Rhodospirillum_rubrum_ATCC_11170	GCF_000013085.1	Rhodospirillum rubrum	Rhodospirillum
Rhodothermaceae_bacterium_RA	GCF_001518995.2	Rhodothermaceae bacterium	Rhodothermaceae
Rhodothermus_profundi	GCF_900142415.1	Rhodothermus profundi	Rhodothermus
Rhodovarius_sp._CCP-6	GCF_004005855.1	Rhodovarius sp.	Rhodovarius
Rhodovibrio_salinarum_DSM_9154	GCF_000515255.1	Rhodovibrio salinarum	Rhodovibrio
Rhodovulum_sulfidophilum_DSM_1374	GCF_001633165.1	Rhodovulum sulfidophilum	Rhodovulum
Richelia_intracellularis_HH01	GCF_000350105.1	Richelia intracellularis	Richelia
Rickettsia_canadensis_str._McKiel	GCF_000014345.1	Rickettsia canadensis	Rickettsia
Rickettsiales_endosymbiont_of_Peranema_trichophorum	GCF_004210275.1	Rickettsiales endosymbiont	Rickettsiales
Rickettsiella_grylli	GCF_000168295.1	Rickettsiella grylli	Rickettsiella
Riemerella_anatipestifer_ATCC_11845_=_DSM_15868	GCF_000252855.1	Riemerella anatipestifer	Riemerella
Rikenella_microfusus_DSM_15922	GCF_000427365.1	Rikenella microfusus	Rikenella
Risungbinella_massiliensis	GCF_000942395.1	Risungbinella massiliensis	Risungbinella
Rivibacter_subsaxonicus	GCF_004217215.1	Rivibacter subsaxonicus	Rivibacter
Rivicola_pingtungensis	GCF_003201855.1	Rivicola pingtungensis	Rivicola
Rivularia_sp._PCC_7116	GCF_000316665.1	Rivularia sp.	Rivularia
Robbsia_andropogonis	GCF_000970345.1	Robbsia andropogonis	Robbsia
Robiginitalea_myxolifaciens	GCF_900115205.1	Robiginitalea myxolifaciens	Robiginitalea
Robiginitomaculum_antarcticum_DSM_21748	GCF_000365025.1	Robiginitomaculum antarcticum	Robiginitomaculum
Robinsoniella_peoriensis	GCF_000797495.1	Robinsoniella peoriensis	Robinsoniella
Rodentibacter_pneumotropicus_DSM_21403	GCF_000379905.1	Rodentibacter pneumotropicus	Rodentibacter
Romboutsia_lituseburensis_DSM_797	GCF_900103615.1	Romboutsia lituseburensis	Romboutsia
Roseateles_depolymerans	GCF_001483865.1	Roseateles depolymerans	Roseateles
Roseburia_hominis_A2-183	GCF_000225345.1	Roseburia hominis	Roseburia
Roseiarcus_fermentans	GCF_003315135.1	Roseiarcus fermentans	Roseiarcus
Roseibaca_calidilacus	GCF_001517585.1	Roseibaca calidilacus	Roseibaca
Roseibacterium_elongatum_DSM_19469	GCF_000590925.1	Roseibacterium elongatum	Roseibacterium
Roseibium_sp._TrichSKD4	GCF_000148725.1	Roseibium sp.	Roseibium
Roseicitreum_antarcticum	GCF_900107025.1	Roseicitreum antarcticum	Roseicitreum
Roseicyclus_mahoneyensis	GCF_003148775.1	Roseicyclus mahoneyensis	Roseicyclus
Roseiflexus_castenholzii_DSM_13941	GCF_000017805.1	Roseiflexus castenholzii	Roseiflexus
Roseimaritima_ulvae	GCF_001642915.1	Roseimaritima ulvae	Roseimaritima
Roseimicrobium_gellanilyticum	GCF_003315205.1	Roseimicrobium gellanilyticum	Roseimicrobium
Roseinatronobacter_thiooxidans	GCF_001870675.1	Roseinatronobacter thiooxidans	Roseinatronobacter
Roseisalinus_antarcticus	GCF_900172355.1	Roseisalinus antarcticus	Roseisalinus
Roseivirga_seohaensis	GCF_001592945.1	Roseivirga seohaensis	Roseivirga
Roseivivax_marinus	GCF_000520615.1	Roseivivax marinus	Roseivivax
Rosenbergiella_nectarea	GCF_900111105.1	Rosenbergiella nectarea	Rosenbergiella
Roseobacter_litoralis_Och_149	GCF_000154785.2	Roseobacter litoralis	Roseobacter
Roseomonas_rosea	GCF_900141905.1	Roseomonas rosea	Roseomonas
Roseospirillum_parvum	GCF_900100455.1	Roseospirillum parvum	Roseospirillum
Roseovarius_aestuarii	GCF_900172285.1	Roseovarius aestuarii	Roseovarius
Rothia_nasimurium	GCF_002087015.1	Rothia nasimurium	Rothia
Rouxiella_chamberiensis	GCF_000951135.1	Rouxiella chamberiensis	Rouxiella
Ruania_albidiflava_DSM_18029	GCF_000421225.1	Ruania albidiflava	Ruania
Ruaniaceae_bacterium_KH17	GCF_900199505.1	Ruaniaceae bacterium	Ruaniaceae
Rubellimicrobium_thermophilum_DSM_16684	GCF_000442315.1	Rubellimicrobium thermophilum	Rubellimicrobium
Rubeoparvulum_massiliense	GCF_001049895.1	Rubeoparvulum massiliense	Rubeoparvulum
Rubidibacter_lacunae_KORDI_51-2	GCF_000473895.1	Rubidibacter lacunae	Rubidibacter
Rubinisphaera_brasiliensis_DSM_5305	GCF_000165715.2	Rubinisphaera brasiliensis	Rubinisphaera
Rubneribacter_badeniensis	GCF_002899695.1	Rubneribacter badeniensis	Rubneribacter
Rubricoccus_marinus	GCF_002257665.1	Rubricoccus marinus	Rubricoccus
Rubrimonas_cliftonensis	GCF_900107585.1	Rubrimonas cliftonensis	Rubrimonas
Rubripirellula_obstinata	GCF_001642955.1	Rubripirellula obstinata	Rubripirellula
Rubritalea_marina_DSM_17716	GCF_000378105.1	Rubritalea marina	Rubritalea
Rubritepida_flocculans_DSM_14296	GCF_000425365.1	Rubritepida flocculans	Rubritepida
Rubrivirga_marina	GCF_002283365.1	Rubrivirga marina	Rubrivirga
Rubrivivax_gelatinosus_IL144	GCF_000284255.1	Rubrivivax gelatinosus	Rubrivivax
